description,count,search_kw
machine learning,1113,data scientist
data science,691,data scientist
data scientist,386,data scientist
computer science,279,data scientist
data analytics,241,data scientist
deep learning,241,data scientist
experience working,239,data scientist
big data,221,data scientist
des donn̩es,217,data scientist
advanced analytics,199,data scientist
years experience,178,data scientist
data sets,173,data scientist
data analysis,170,data scientist
communication skills,167,data scientist
data scientists,156,data scientist
experience data,140,data scientist
problem solving,137,data scientist
data driven,130,data scientist
business intelligence,127,data scientist
data visualization,121,data scientist
big data,256,data engineer
machine learning,213,data engineer
data engineer,196,data engineer
computer science,170,data engineer
experience working,156,data engineer
years experience,143,data engineer
data pipelines,143,data engineer
problem solving,129,data engineer
data science,118,data engineer
communication skills,110,data engineer
data engineering,102,data engineer
equal opportunity,100,data engineer
software development,99,data engineer
experience data,94,data engineer
opportunity employer,85,data engineer
lehigh hanson,84,data engineer
bachelor degree,84,data engineer
data sets,78,data engineer
data analysis,78,data engineer
degree computer,76,data engineer
data analyst,303,data analyst
communication skills,243,data analyst
data analysis,225,data analyst
business intelligence,208,data analyst
years experience,204,data analyst
bachelor degree,173,data analyst
data analytics,165,data analyst
computer science,162,data analyst
ability work,147,data analyst
et des,143,data analyst
problem solving,142,data analyst
business analyst,142,data analyst
business units,134,data analyst
related field,133,data analyst
fast paced,131,data analyst
et la,130,data analyst
skills ability,128,data analyst
experience data,127,data analyst
et les,127,data analyst
job types,125,data analyst
